ID,name
ASSOC0031,American Board of Psychiatry and Neurology
Space Telescope Science Institute,Space Telescope Science Institute
7790,University Of New Hampshire
ASSOC0063,Centers for Disease Control
Engineering SPO,Engineering SPO
ASSOC0012,American Academy of Physical Medicine & Rehabilitation
Anesthesiology,Anesthesiology
TARO PHARMACEUTICALS INC.,TARO PHARMACEUTICALS INC.
ASSOC0074,National Institute of Allergy and Infectious Diseases
CYPRESS PHARMACEUTICAL  INC.,CYPRESS PHARMACEUTICAL  INC.
FC16,University Of Central Florida
V8I0,Kennesaw State University
Compass Corp,Compass Corp
9269,University Of Nebraska
BIOVAIL PHARMACEUTICALS  INC.,BIOVAIL PHARMACEUTICALS  INC.
THAMES PHARMACAL COMPANY  INC.,THAMES PHARMACAL COMPANY  INC.
9363,University Of Notre Dame
PFIZER  INC.,PFIZER  INC.
V9CI,University Of Colorado-Denver
AMERICAN HEALTH PACKAGING,AMERICAN HEALTH PACKAGING
Phillips Medical,Phillips Medical
ASSOC0050,American Society for Bariatric Surgery
F2D3,University Of Maryland Baltimore County
Department of Animal Science,Department of Animal Science
PHARMADERM  DIV OF ALTANA INC,PHARMADERM  DIV OF ALTANA INC
UPSHER-SMITH LABORATORIES INC. ,UPSHER-SMITH LABORATORIES INC. 
Gastroenterology,Gastroenterology
9278,University Of Texas-Austin
ASSOC0020,American Board of Internal Medicine
GAVIS PHARMACEUTICALS  LLC,GAVIS PHARMACEUTICALS  LLC
Microbiology and Immunology,Microbiology and Immunology
SKY PHARMACEUTICALS PACKAGING  INC.,SKY PHARMACEUTICALS PACKAGING  INC.
Institutional BioSafety Office,Institutional BioSafety Office
Academic Affairs,Academic Affairs
F731,University Of Northern Iowa
AP PHARMACEUTICALS  INC.,AP PHARMACEUTICALS  INC.
ROSEMONT PHARMACEUTICAL CORPORATION,ROSEMONT PHARMACEUTICAL CORPORATION
ASSOC0087,Society of Nuclear Medicine
9299,University Of Utah
9283,Utah State University
University of Utah,University of Utah
FDFA,University Of Memphis
7312,Embry-Riddle Aeronautical University
9270,University Of Pittsburgh
9311,University Of North Dakota
7408,Eden Hospital Medical Center
891,Harvey Mudd College
7079,West Virginia University
Chesepeake Research Review Inc.,Chesepeake Research Review Inc.
9362,University Of San Francisco
F1B4,Thompson Rivers University
V8OT,University Of Scranton
College of Arts & Sciences,College of Arts & Sciences
FC37,University Of Texas-Tyler
307,Georgia Southern University
8956,Oregon State University
DIGESTIVE CARE  INC.,DIGESTIVE CARE  INC.
ASSOC0076,National Institute of Child Health and Human Development
V8M6,University Of Luxembourg
ASSOC0053,American Society for Therapeutic Radiology and Oncology
9285,University Of North Carolina At Chapel Hill
TRIAX PHARMACEUTICALS  INC.,TRIAX PHARMACEUTICALS  INC.
AR SCIENTIFIC,AR SCIENTIFIC
ASSOC0047,American Osteopathic Association
ASSOC0002,Administration on Aging
SAVAGE LABORATORIES  DIV OF ALTANA INC,SAVAGE LABORATORIES  DIV OF ALTANA INC
7427,University Of Lowell Researh Foundation  Massachusetts
Office of Compliance,Office of Compliance
Oncology,Oncology
V8N8,Chonbuk National University
ASSOC0082,Radiological Society of North America
Pediatrics,Pediatrics
ACTAVIS KADIAN LLC,ACTAVIS KADIAN LLC
ACTAVIS  INC.,ACTAVIS  INC.
PACK PHARMECEUTICALS  LLC,PACK PHARMECEUTICALS  LLC
PEDINOL PHARMACAL INC,PEDINOL PHARMACAL INC
United States Department of Agriculture,United States Department of Agriculture
141,Montana State University
8943,Northwestern University
Office of Research,Office of Research
ROXANE LABORATORIES  INC.,ROXANE LABORATORIES  INC.
5627,University Of Victoria (Canada)
9268,University Of Michigan
SANDOZ,SANDOZ
EXCELLIUM PHARMACEUTICAL  INC.,EXCELLIUM PHARMACEUTICAL  INC.
EISAI  INC.,EISAI  INC.
ICN PHARMACEUTICALS INC.,ICN PHARMACEUTICALS INC.
9125,Polytech State University
VIRTUS PHARMACEUTICALS  LLC,VIRTUS PHARMACEUTICALS  LLC
ASSOC0021,American Board of Medical Genetics
9073,Organic Synthesis  Inc.  Wayne State University
ASSOC0062,American Urological Association
9255,University Of Chicago
EURAND  INC.,EURAND  INC.
ASSOC0024,American Board of Obstetrics and Gynecology
Biochemistry,Biochemistry
F2AF,Sanford Usd Medical Center
9369,University Of Florida
V8HJ,Drake University
Alaris Medical,Alaris Medical
ASSOC0026,American Board of Orthopaedic Surgery
8688,Johns Hopkins University
ASSOC0038,American College of Obstetricians and Gynecologists
ASSOC0028,American Board of Pathology
9962,Butler University
RECKITT BENCKISER,RECKITT BENCKISER
SANOFI WINTHROP PHARMACEUTICALS,SANOFI WINTHROP PHARMACEUTICALS
SALIX PHARMACEUTICALS  INC,SALIX PHARMACEUTICALS  INC
MAJOR PHARMACEUTICALS,MAJOR PHARMACEUTICALS
TTO,Tech Transfer Office
AUXILIUM PHARMACEUTICALS  INC.,AUXILIUM PHARMACEUTICALS  INC.
AMNEAL PHARMACEUTICALS LLC,AMNEAL PHARMACEUTICALS LLC
984,Northeastern University
9293,University Of Pennsylvania
ORTHO PHARMACEUTICAL CORPORATION,ORTHO PHARMACEUTICAL CORPORATION
ATON PHARMA  INC.,ATON PHARMA  INC.
AMERICAN REGENT LABORATORIES  INC.,AMERICAN REGENT LABORATORIES  INC.
8444,Emory University
7673,University Of Missouri System (Columbia/Kansas City/Rolla/St
ETHEX CORPORATION,ETHEX CORPORATION
Cacao Foundation,Cacao Foundation
9298,University Of Idaho
ASSOC0025,American Board of Ophthalmology
8289,Bryn Mawr College
BioFactura Research Institute,BioFactura Research Institute
ACTAVIS PHARMA MFGING PRIVATE LIMITED,ACTAVIS PHARMA MFGING PRIVATE LIMITED
V8EU,University Of Hawaii At Hilo
VISTAPHARM  INC,VISTAPHARM  INC
Institute for Computational Medicine,Institute for Computational Medicine
FD36,University Of Texas-Arlington
INGENUS PHARMACEUTICALS  LLC,INGENUS PHARMACEUTICALS  LLC
Office of the Vice President of Research,Office of the Vice President of Research
7900,University Of Massachusetts
FERA PHARMACEUTICALS  LLC,FERA PHARMACEUTICALS  LLC
136,University Of South Carolina
Goodwyn IRB,Goodwyn Institutional Review Board
ASSOC0034,American Cancer Society
ASSOC0003,American Academy of Allergy Asthma & Immunology
Arizona State University,Arizona State University
Auburn University,Auburn University
Augusta University Research Institute  Inc.,Augusta University Research Institute  Inc.
Ball State University,Ball State University
Beckman Research Institute of the City of Hope,Beckman Research Institute of the City of Hope
Boston College,Boston College
Boston University (Charles River Campus),Boston University (Charles River Campus)
Boston University (Medical Campus),Boston University (Medical Campus)
Bradley University,Bradley University
Brandeis University,Brandeis University
Brigham and Women's Hospital,Brigham and Women's Hospital
Brown University,Brown University
Bucknell University,Bucknell University
California Institute of Technology,California Institute of Technology
Case Western Reserve University,Case Western Reserve University
Cedars-Sinai Medical Center,Cedars-Sinai Medical Center
Charles R. Drew University of Medicine and Science,Charles R. Drew University of Medicine and Science
Children's Hosp of Philadelphia,Children's Hosp of Philadelphia
Cincinnati Children's Hospital Medical Center,Cincinnati Children's Hospital Medical Center
Clemson University,Clemson University
Carnegie Mellon University,Carnegie Mellon University
Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory
College of Charleston,College of Charleston
Colorado State University,Colorado State University
Columbia University,Columbia University
Columbia University Irving Medical Center,Columbia University Irving Medical Center
Cornell University,Cornell University 
Dana-Farber Cancer Institute  Inc.,Dana-Farber Cancer Institute  Inc.
Dartmouth College,Dartmouth College
Desert Research Institute,Desert Research Institute
Drexel University,Drexel University
Duke University,Duke University
Emma Pendleton Bradley Hospital,Emma Pendleton Bradley Hospital
Emory University,Emory University
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University
Florida Atlantic University,Florida Atlantic University
Florida International University,Florida International University
Florida State University,Florida State University
FRED HUTCHINSON CANCER RESEARCH CENTER,FRED HUTCHINSON CANCER RESEARCH CENTER
Geisinger Clinic,Geisinger Clinic
George Mason University,George Mason University
Georgetown University,Georgetown University
Georgia Southern University Research and Service Foundation  Inc.,Georgia Southern University Research and Service Foundation  Inc.
Georgia State University,Georgia State University
Georgia Tech Research Corporation,Georgia Tech Research Corporation
Governors State University,Governors State University
Harvard Chan School,Harvard Chan School
Harvard Medical School,Harvard Medical School
Harvard University,Harvard University
Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai
Indiana University,Indiana University
Institute for Systems Biology,Institute for Systems Biology
Iowa State University,Iowa State University
Johns Hopkins University,Johns Hopkins University
Kent State University,Kent State University
Lehigh University,Lehigh University
Lincoln University  Pennsylvania,Lincoln University  Pennsylvania
Loyola University of Chicago,Loyola University of Chicago
Massachusetts Eye and Ear Infirmary,Massachusetts Eye and Ear Infirmary
Massachusetts General Hospital,Massachusetts General Hospital
Massachusetts Institute of Technology,Massachusetts Institute of Technology
McLean Hospital,McLean Hospital
Medical University of South Carolina,Medical University of South Carolina
Michigan State University,Michigan State University
Michigan Technological University,Michigan Technological University
Mississippi State University,Mississippi State University
Morgan State University,Morgan State University
Nevada System of Higher Education,Nevada System of Higher Education
CADISTA,CADISTA
ARBOR PHARMACEUTICALS  INC.,ARBOR PHARMACEUTICALS  INC.
ASSOC0046,American Neurological Association
PURDUE PHARMA  L.P.,PURDUE PHARMA  L.P.
ORGANON INC.,ORGANON INC.
ASSOC0006,American Academy of Family Physicians
CJF,C.J. Foundation for S.I.D.S. Inc.
HILL DERMACEUTICALS  INC.,HILL DERMACEUTICALS  INC.
ASSOC0070,National Council on the Aging
SCANDIPHARM  INC.,SCANDIPHARM  INC.
ASSOC0029,American Board of Pediatrics
QUALITY CARE PRODUCT  LLC,QUALITY CARE PRODUCT  LLC
ASSOC0086,Society of Critical Care Medicine
CARACO PHARMA  INC.,CARACO PHARMA  INC.
4144,University Health Network (Canada)
New Mexico State University,New Mexico State University
New York University,New York University
New York University School of Medicine,New York University School of Medicine
North Carolina State University,North Carolina State University
Northeastern University,Northeastern University
Northern Illinois University,Northern Illinois University
Northwestern University - Chicago Campus,Northwestern University - Chicago Campus
Northwestern University - Evanston Campus,Northwestern University - Evanston Campus
Nova Southeastern University,Nova Southeastern University
Oregon Health & Science University,Oregon Health & Science University
Oregon State University,Oregon State University
Penn State,Penn State
Penn State University College of Medicine,Penn State University College of Medicine
Princeton University,Princeton University
Purdue University,Purdue University
Rensselaer,Rensselaer
RF SUNY - Binghamton University,RF SUNY - Binghamton University 
RF SUNY - Buffalo State College,RF SUNY - Buffalo State College
RF SUNY - SUNY Alfred,RF SUNY - SUNY Alfred 
RF SUNY - SUNY Brockport,RF SUNY - SUNY Brockport
RF SUNY - SUNY Cobleskill,RF SUNY - SUNY Cobleskill
RF SUNY - SUNY College of Environmental Science and Forestry,RF SUNY - SUNY College of Environmental Science and Forestry 
RF SUNY - SUNY College of Optometry,RF SUNY - SUNY College of Optometry 
RF SUNY - SUNY Cortland,RF SUNY - SUNY Cortland
RF SUNY - SUNY Delhi,RF SUNY - SUNY Delhi
RF SUNY - SUNY Downstate Medical Center,RF SUNY - SUNY Downstate Medical Center
RF SUNY - SUNY Empire State College,RF SUNY - SUNY Empire State College
RF SUNY - SUNY Fredonia,RF SUNY - SUNY Fredonia
RF SUNY - SUNY Geneseo,RF SUNY - SUNY Geneseo
RF SUNY - SUNY Maritime,RF SUNY - SUNY Maritime
RF SUNY - SUNY New Paltz,RF SUNY - SUNY New Paltz
RF SUNY - SUNY Old Westbury,RF SUNY - SUNY Old Westbury
RF SUNY - SUNY Oneonta,RF SUNY - SUNY Oneonta
RF SUNY - SUNY Oswego,RF SUNY - SUNY Oswego
RF SUNY - SUNY Plattsburgh,RF SUNY - SUNY Plattsburgh 
RF SUNY - SUNY Polytechnic Institute,RF SUNY - SUNY Polytechnic Institute
RF SUNY - SUNY Potsdam,RF SUNY - SUNY Potsdam
RF SUNY - SUNY Purchase,RF SUNY - SUNY Purchase
RF SUNY - University at Albany,RF SUNY - University at Albany
RF SUNY - University at Buffalo,RF SUNY - University at Buffalo
RF SUNY - Upstate Medical Center,RF SUNY - Upstate Medical Center
RF SUNY Stony Brook,RF SUNY Stony Brook 
Rhode Island Hospital,Rhode Island Hospital
Rockefeller University,Rockefeller University
RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY â€“ Camden,RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY â€“ Camden
RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY â€“ New Brunswick,RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY â€“ New Brunswick
RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY â€“ Newark,RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY â€“ Newark
RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY â€“ RBHS- Piscataway/New Brunswick--UBHC/GSBS,RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY â€“ RBHS- Piscataway/New Brunswick--UBHC/GSBS 
Saint Louis University,Saint Louis University
Salem State University,Salem State University
Schepens Eye Research Institute,Schepens Eye Research Institute
Southern Illinois University Edwardsville,Southern Illinois University Edwardsville
Spaulding Rehabilitation Hospital - Boston,Spaulding Rehabilitation Hospital - Boston
St. Jude Children's Research Hospital,St. Jude Children's Research Hospital
Stanford University,Stanford University
Syracuse University,Syracuse University
Temple University,Temple University
Texas A&M Engineering Experiment Station (TEES),Texas A&M Engineering Experiment Station (TEES)
Texas A&M University,Texas A&M University
Texas State University,Texas State University 
Texas Tech University,Texas Tech University
The Feinstein,The Feinstein
The George Washington University,The George Washington University
The Jackson Laboratory,The Jackson Laboratory
The Miriam Hospital,The Miriam Hospital
The New School (TNS),The New School (TNS)
The Ohio State University,The Ohio State University
The Salk Institute,The Salk Institute
The University of Alabama,The University of Alabama
The University of Alabama in Huntsville,The University of Alabama in Huntsville
The University of North Carolina at Greensboro,The University of North Carolina at Greensboro
The University of Texas at Arlington,The University of Texas at Arlington
The University of Texas at Dallas,The University of Texas at Dallas
The University of Texas Health Science Center at Houston,The University of Texas Health Science Center at Houston
The University of Texas Health Science Center at San Antonio,The University of Texas Health Science Center at San Antonio
Tufts Medical Center  Inc,Tufts Medical Center  Inc
Tufts University  Health Sciences Campus (Boston),Tufts University  Health Sciences Campus (Boston)
ASSOC0064,College of American Pathologists
F524,University Hospitals Of Cleveland
F836,Williams College
LEADER BRAND PRODUCTS,LEADER BRAND PRODUCTS
9659,Dartmouth College
ASSOC0066,Endocrine Society  The
ASSOC0065,Council of Medical Specialty Societies
FEFE,Gallaudet University
NOVO NORDISK PHARMACEUTICALS INC.,NOVO NORDISK PHARMACEUTICALS INC.
MTA,Material Transfer Agreements
SUN PHARMACEUTICALS INDUSTRIES LTD,SUN PHARMACEUTICALS INDUSTRIES LTD
NOVARTIS CONSUMER HEALTH  INC.,NOVARTIS CONSUMER HEALTH  INC.
9196,Texas A&M University
8283,Chabot College
7989,Radcliffe College
Tufts University  Medford,Tufts University  Medford
UNC-Chapel Hill,UNC-Chapel Hill
University Enterprises  Inc. (on behalf of California State University  Sacramento),University Enterprises  Inc. (on behalf of California State University  Sacramento)
University of Alabama at Birmingham,University of Alabama at Birmingham
University of Alaska Fairbanks,University of Alaska Fairbanks
University of Arizona,University of Arizona
University of Arkansas,University of Arkansas
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences
University of California San Diego,University of California San Diego
University of California  Berkeley,University of California  Berkeley
University of California  Davis,University of California  Davis
University of California  Irvine,University of California  Irvine
University of California  Los Angeles,University of California  Los Angeles
University of California  Riverside,University of California  Riverside
University of California  San Francisco,University of California  San Francisco
University of California  Santa Cruz,University of California  Santa Cruz
University of Central Florida,University of Central Florida
University Of Chicago,University Of Chicago
University of Cincinnati,University of Cincinnati
University of Colorado Boulder,University of Colorado Boulder
University of Colorado Denver | Anschutz Medical Campus,University of Colorado Denver | Anschutz Medical Campus 
University of Connecticut,University of Connecticut
University of Delaware,University of Delaware
University of Florida,University of Florida
University of Georgia,University of Georgia
University of Georgia Research Foundation  Inc.,University of Georgia Research Foundation  Inc.
University of Hawaii,University of Hawaii
University of Houston,University of Houston
University of Idaho,University of Idaho
University of Illinois,University of Illinois
University of Illinois at Chicago (UIC),University of Illinois at Chicago (UIC)
University of Iowa,University of Iowa
University of Kansas Center for Research  Inc.,University of Kansas Center for Research  Inc.
University of Kansas Medical Center Research Institute  Inc.,University of Kansas Medical Center Research Institute  Inc.
University of Kentucky,University of Kentucky
University of Maryland Center for Environmental Science (UMCES),University of Maryland Center for Environmental Science (UMCES)
University of Maryland  Baltimore,University of Maryland  Baltimore
University of Maryland  Baltimore County,University of Maryland  Baltimore County
University of Maryland  College Park,University of Maryland  College Park
University of Massachusetts Lowell,University of Massachusetts Lowell
University of Massachusetts Medical School,University of Massachusetts Medical School
University of Miami - Dept of Education Only,University of Miami - Dept of Education Only
University of Miami - Coral Gables,University of Miami - Coral Gables 
University of Miami - Medical - Miller School of Medicine,University of Miami - Medical - Miller School of Medicine 
University of Miami RSMAS - Rosenstiel School of Marine & Atmospheric Sciences,University of Miami RSMAS - Rosenstiel School of Marine & Atmospheric Sciences
University of Michigan,University of Michigan
University of Minnesota - Crookston,University of Minnesota - Crookston
University of Minnesota - Duluth,University of Minnesota - Duluth
University of Minnesota - Morris,University of Minnesota - Morris
University of Minnesota - Twin Cities,University of Minnesota - Twin Cities
University of Missouri-Columbia,University of Missouri-Columbia
University of Nebraska Medical Center,University of Nebraska Medical Center
University of Nebraska-Lincoln,University of Nebraska-Lincoln
University of Nevada Las Vegas,University of Nevada Las Vegas
University of Nevada  Reno,University of Nevada  Reno
University of New Mexico,University of New Mexico
University of New Orleans,University of New Orleans
University of North Dakota,University of North Dakota
University of North Texas,University of North Texas
University of Notre Dame,University of Notre Dame
University of Oklahoma,University of Oklahoma
University of Pennsylvania,University of Pennsylvania
University of Pittsburgh,University of Pittsburgh
University of Rhode Island (URI),University of Rhode Island (URI)
University of Rochester,University of Rochester
University of South Alabama,University of South Alabama
University of South Florida,University of South Florida
University of Southern California,University of Southern California
University of Tennessee Health Science Center (UTHSC),University of Tennessee Health Science Center (UTHSC)
University of Tennessee  Knoxville,University of Tennessee  Knoxville
University of Texas at El Paso,University of Texas at El Paso
University of Texas at San Antonio,University of Texas at San Antonio
University of Texas MD Anderson Cancer Center,University of Texas MD Anderson Cancer Center
University of Texas Medical Branch at Galveston,University of Texas Medical Branch at Galveston
University of Texas  Austin,University of Texas  Austin
University of Virginia,University of Virginia
University of Wisconsin-Madison,University of Wisconsin-Madison
6921,Natl Hispanic University
7963,Wellesley College
9325,Wayne State University
ASSOC0016,American Association of Neurological Surgeons
8832,Michigan State University
SANDOZ  INC,SANDOZ  INC
HARRIS PHARMACEUTICAL,HARRIS PHARMACEUTICAL
9003,Princeton University
9618,Georgia Health Sciences University
7998,University Of Medicine And Dentistry Of New Jersey
9367,University Of Texas-Houston
BOCA PHARMACAL  INC.,BOCA PHARMACAL  INC.
MIDLOTHIAN LABORATORIES  LLC,MIDLOTHIAN LABORATORIES  LLC
6844,Fresno City College
FD07,Cleveland State University
247,Santa Barbara City College
BIOGEN,Biogen
Center for Global Health Initiatives,Center for Global Health Initiatives
9561,Auburn University
UT Southwestern Medical Center,UT Southwestern Medical Center
Vanderbilt University,Vanderbilt University
Vanderbilt University Medical Center,Vanderbilt University Medical Center
Virginia Commonwealth University,Virginia Commonwealth University
Virginia Polytechnic Institute and State University (Virginia Tech),Virginia Polytechnic Institute and State University (Virginia Tech)
Wake Forest University Health Sciences,Wake Forest University Health Sciences
Washington State University,Washington State University
Washington University in St. Louis,Washington University in St. Louis
Wayne State University,Wayne State University
West Virginia University,West Virginia University
West Virginia University Research Corporation,West Virginia University Research Corporation
Western Michigan University,Western Michigan University 
Wright State University,Wright State University
Yale University,Yale University
8258,Cedars-Sinai Medical Center
CMH,Children's Memorial Hospital
MERCK & CO.  INC.,MERCK & CO.  INC.
4175,University Of Manitoba (Canada) 
Rehabilitation,Rehabilitation
ASSOC0055,American Society of Anesthesiologists
ACS,American College of Surgeons Oncology Group
Norman Noble  Inc.,Norman Noble  Inc.
ASSOC0004,American Academy of Child & Adolescent Psychiatry
9257,University Medical Research Foundation
MONARCH PHARMACEUTICAL CORPORATION,MONARCH PHARMACEUTICAL CORPORATION
VIIV HEALTHCARE CO.,VIIV HEALTHCARE CO.
MACOVEN PHARACEUTICALS  INC.,MACOVEN PHARACEUTICALS  INC.
9754,Brigham Young University
9265,University Of Houston
UNICHEM PHARMACEUTICALS (USA)  INC.,UNICHEM PHARMACEUTICALS (USA)  INC.
9984,Mills College
Department of Energy,Department of Energy
Department of Defense,Department of Defense
7820,Boston College
9273,University Of Maryland
HERITAGE PHARMACEUTICALS  INC.,HERITAGE PHARMACEUTICALS  INC.
ASSOC0035,American College of Cardiology
ASSOC0067,Federation of State Medical Boards of the United States
BioFactura  Inc.,BioFactura  Inc.
ASSOC0059,American Society of Ophthalmic Plastic and Reconstructive Surgery
WARNER CHILCOTT LABORATORIES,WARNER CHILCOTT LABORATORIES
SUN PHARMA GLOBAL  INC.,SUN PHARMA GLOBAL  INC.
CAMBER PHARMACEUTICALS,CAMBER PHARMACEUTICALS
8866,Michigan Technological University
9160,St. Louis University
VALEANT PHARMACEUTICALS NORTH AMERICA,VALEANT PHARMACEUTICALS NORTH AMERICA
Metabolism & Endocrin,Metabolism & Endocrin
